,Filename,File Extension,Time Created,Time Modified
30,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(0.76)_In_PlaneAnis_K(30000)_Ratio(1).mx3,mx3,2020-03-17 12:45:05,2020-03-17 12:00:38
31,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(0.76)_In_PlaneAnis_K(30000)_Ratio(1).out,out,2020-03-17 13:49:56,2020-03-17 13:49:56
32,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1.01)_In_PlaneAnis_K(10000)_Ratio(1).mx3,mx3,2020-03-17 12:45:06,2020-03-17 12:00:38
33,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1.01)_In_PlaneAnis_K(10000)_Ratio(1).out,out,2020-03-17 13:52:28,2020-03-17 13:52:28
34,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1.01)_In_PlaneAnis_K(20000)_Ratio(1).mx3,mx3,2020-03-17 12:45:05,2020-03-17 12:00:38
35,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1.01)_In_PlaneAnis_K(20000)_Ratio(1).out,out,2020-03-17 13:51:57,2020-03-17 13:51:57
36,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1.01)_In_PlaneAnis_K(40000)_Ratio(1).mx3,mx3,2020-03-17 12:45:06,2020-03-17 12:00:38
37,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1.01)_In_PlaneAnis_K(40000)_Ratio(1).out,out,2020-03-17 13:54:52,2020-03-17 13:54:53
38,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1.26)_In_PlaneAnis_K(10000)_Ratio(1).mx3,mx3,2020-03-17 12:45:06,2020-03-17 12:00:38
39,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1.26)_In_PlaneAnis_K(10000)_Ratio(1).out,out,2020-03-17 13:57:45,2020-03-17 13:57:45
40,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1.26)_In_PlaneAnis_K(50000)_Ratio(1).mx3,mx3,2020-03-17 12:45:06,2020-03-17 12:00:38
41,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1.26)_In_PlaneAnis_K(50000)_Ratio(1).out,out,2020-03-17 14:01:40,2020-03-17 14:01:40
42,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1.52)_In_PlaneAnis_K(10000)_Ratio(1).mx3,mx3,2020-03-17 12:45:07,2020-03-17 12:00:38
43,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1.52)_In_PlaneAnis_K(10000)_Ratio(1).out,out,2020-03-17 14:05:03,2020-03-17 14:05:03
44,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1.52)_In_PlaneAnis_K(20000)_Ratio(1).mx3,mx3,2020-03-17 12:45:07,2020-03-17 12:00:38
45,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1.52)_In_PlaneAnis_K(20000)_Ratio(1).out,out,2020-03-17 14:08:45,2020-03-17 14:08:46
46,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1.52)_In_PlaneAnis_K(30000)_Ratio(1).mx3,mx3,2020-03-17 12:45:07,2020-03-17 12:00:38
47,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1.52)_In_PlaneAnis_K(30000)_Ratio(1).out,out,2020-03-17 14:12:21,2020-03-17 14:12:21
48,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1.52)_In_PlaneAnis_K(60000)_Ratio(1).mx3,mx3,2020-03-17 12:45:07,2020-03-17 12:00:39
49,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1.52)_In_PlaneAnis_K(60000)_Ratio(1).out,out,2020-03-17 14:14:49,2020-03-17 14:14:49
50,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1.77)_In_PlaneAnis_K(10000)_Ratio(1).mx3,mx3,2020-03-17 12:45:05,2020-03-17 12:00:38
51,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1.77)_In_PlaneAnis_K(10000)_Ratio(1).out,out,2020-03-17 14:17:30,2020-03-17 14:17:31
52,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1.77)_In_PlaneAnis_K(70000)_Ratio(1).mx3,mx3,2020-03-17 12:45:06,2020-03-17 12:00:39
53,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1.77)_In_PlaneAnis_K(70000)_Ratio(1).out,out,2020-03-17 14:21:19,2020-03-17 14:21:20
54,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(10)_In_PlaneAnis_K(0)_Ratio(1).mx3,mx3,2020-03-17 12:45:06,2020-03-17 12:00:38
55,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(10)_In_PlaneAnis_K(0)_Ratio(1).out,out,2020-03-17 14:24:38,2020-03-17 14:24:38
56,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(10.1)_In_PlaneAnis_K(10000)_Ratio(1).mx3,mx3,2020-03-17 12:45:07,2020-03-17 12:00:38
